                                        ,Always Cooperate                        ,Always Cooperate                        
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
,c,c
Total,1500,1500

                                        ,Always Cooperate                        ,Always Defect                           
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
,c,d
